11111111:<-1.0>,,,11111111
00000000:<0.0>,,,00000000
00000001:<1.0>,,,00000001
00000001:<1.0>,,,00000001
11111111:<-1.0>,,,11111111
11111101:<-3.0>,,,11111101
11111100:<-4.0>,,,11111100
00000000:<0.0>,,,00000000
00000101:<5.0>,,,00000101
00000110:<6.0>,,,00000110
00000001:<1.0>,,,00000001
11111010:<-6.0>,,,11111010
11111001:<-7.0>,,,11111001
11111101:<-3.0>,,,11111101
00000001:<1.0>,,,00000001
11111111:<-1.0>,,,11111111
11111101:<-3.0>,,,11111101
00000100:<4.0>,,,00000100
00010001:<17.0>,,,00010001
00010010:<18.0>,,,00010010
11111001:<-7.0>,,,11111001
11010101:<-43.0>,,,11010101
11010000:<-48.0>,,,11010000
00000000:<0.0>,,,00000000
01000001:<65.0>,,,01000001
01010010:<82.0>,,,01010010
00010011:<19.0>,,,00010011
10110011:<-77.0>,,,10110011
10001111:<-113.0>,,,10001111
11010001:<-47.0>,,,11010001
01000100:<68.0>,,,01000100
01111100:<124.0>,,,01111100
01000100:<68.0>,,,01000100
11010001:<-47.0>,,,11010001
10001111:<-113.0>,,,10001111
10110011:<-77.0>,,,10110011
00010011:<19.0>,,,00010011
01010010:<82.0>,,,01010010
01000001:<65.0>,,,01000001
00000000:<0.0>,,,00000000
11010000:<-48.0>,,,11010000
11010101:<-43.0>,,,11010101
11111001:<-7.0>,,,11111001
00010010:<18.0>,,,00010010
00010001:<17.0>,,,00010001
00000100:<4.0>,,,00000100
11111101:<-3.0>,,,11111101
11111111:<-1.0>,,,11111111
00000001:<1.0>,,,00000001
11111101:<-3.0>,,,11111101
11111001:<-7.0>,,,11111001
11111010:<-6.0>,,,11111010
00000001:<1.0>,,,00000001
00000110:<6.0>,,,00000110
00000101:<5.0>,,,00000101
00000000:<0.0>,,,00000000
11111100:<-4.0>,,,11111100
11111101:<-3.0>,,,11111101
11111111:<-1.0>,,,11111111
00000001:<1.0>,,,00000001
00000001:<1.0>,,,00000001
00000000:<0.0>,,,00000000
11111111:<-1.0>,,,11111111
