00000000:<0.0>,,,,00000000
00000000:<0.0>,,,,00000000
11111110:<-2.0>,,,,11111110
00000001:<1.0>,,,,00000001
00000000:<0.0>,,,,00000000
11111101:<-3.0>,,,,11111101
00000011:<3.0>,,,,00000011
11111111:<-1.0>,,,,11111111
11111010:<-6.0>,,,,11111010
00000110:<6.0>,,,,00000110
11111110:<-2.0>,,,,11111110
11111010:<-6.0>,,,,11111010
00000110:<6.0>,,,,00000110
11111101:<-3.0>,,,,11111101
11111110:<-2.0>,,,,11111110
11111111:<-1.0>,,,,11111111
00000010:<2.0>,,,,00000010
00000100:<4.0>,,,,00000100
11101110:<-18.0>,,,,11101110
00010010:<18.0>,,,,00010010
00000110:<6.0>,,,,00000110
11010101:<-43.0>,,,,11010101
00101111:<47.0>,,,,00101111
11111111:<-1.0>,,,,11111111
10111110:<-66.0>,,,,10111110
01010010:<82.0>,,,,01010010
11101100:<-20.0>,,,,11101100
10110011:<-77.0>,,,,10110011
01110000:<112.0>,,,,01110000
11010001:<-47.0>,,,,11010001
10111011:<-69.0>,,,,10111011
01111100:<124.0>,,,,01111100
10111011:<-69.0>,,,,10111011
11010001:<-47.0>,,,,11010001
01110000:<112.0>,,,,01110000
10110011:<-77.0>,,,,10110011
11101100:<-20.0>,,,,11101100
01010010:<82.0>,,,,01010010
10111110:<-66.0>,,,,10111110
11111111:<-1.0>,,,,11111111
00101111:<47.0>,,,,00101111
11010101:<-43.0>,,,,11010101
00000110:<6.0>,,,,00000110
00010010:<18.0>,,,,00010010
11101110:<-18.0>,,,,11101110
00000100:<4.0>,,,,00000100
00000010:<2.0>,,,,00000010
11111111:<-1.0>,,,,11111111
11111110:<-2.0>,,,,11111110
11111101:<-3.0>,,,,11111101
00000110:<6.0>,,,,00000110
11111010:<-6.0>,,,,11111010
11111110:<-2.0>,,,,11111110
00000110:<6.0>,,,,00000110
11111010:<-6.0>,,,,11111010
11111111:<-1.0>,,,,11111111
00000011:<3.0>,,,,00000011
11111101:<-3.0>,,,,11111101
00000000:<0.0>,,,,00000000
00000001:<1.0>,,,,00000001
11111110:<-2.0>,,,,11111110
00000000:<0.0>,,,,00000000
00000000:<0.0>,,,,00000000
